level,zone,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,base_median,egg_color,egg_size
zone,Región Metropolitana de Santiago,0.9943219957245323,0.9832331698315877,0.9937220095015608,1.0040148766025379,1.0038597077517692,1.0183398538758484,1.0394787174456779,1.0204808778165881,1.0028485240742613,1.0010647288273018,1.0024011205545453,0.9920009283317868,1933.377727,,
zone,Región de Arica y Parinacota,0.9769247088596086,0.9682807878911864,0.9844851405379057,0.9845236561828344,0.9897535756409382,1.0321258362946182,1.0197263242436412,1.024261067880983,1.025062950980318,1.0014156078021332,0.9927893661461372,0.9882735646292522,1979.715,,
zone,Región de Coquimbo,0.9939612209442409,0.9736244087398709,0.9927704579174963,0.9890485308850198,1.0077989271719696,1.023850767845594,1.019936086840737,1.0068757370937267,1.005946206424287,1.0034898613946763,0.996817023219245,1.0134090822628303,1971.425,,
zone,Región de La Araucanía,0.9633325484736186,0.9678049691857252,0.9744732908826601,0.9855142196105732,1.0013436457074998,1.0311956143404108,1.0309985463033107,1.0239245715689689,1.028893501361561,1.0029035543907783,0.9956964947482648,0.9648822198562684,1953.6399999999999,,
zone,Región de Los Lagos,0.9704329357018964,0.9533239457862979,0.9734915122645954,0.9883246860755643,0.9993484762132004,1.0183724762725423,1.0283122319573037,1.0230258643816768,1.0198374775768262,0.9987884377399172,0.9856330969138544,0.9759047464805971,2022.1825,,
zone,Región de Valparaíso,0.9867162890715987,0.9877732550732433,0.9837800344114471,0.99083862781459,1.0188413611696288,1.035413934705759,1.0283231690446255,1.014074719425738,1.0131906257761558,1.0108510591750774,0.9989627664023824,0.9889970877672067,1942.6675,,
zone,Región de Ñuble,0.939504769411639,0.9351061343368458,0.9701619281516907,1.003347902643356,1.0748986740719295,1.1025322953020447,1.1200155405256633,1.1210480980746962,1.0632144195323352,0.9594420347327053,0.943075386104035,0.9434145610613732,2144.9107142499997,,
zone,Región del Biobío,0.9875317782661981,0.9571461850887766,0.979236511328762,0.9871114442272438,0.9975919417406894,1.0107147197941884,1.0084725162309711,1.0155624879723695,1.0315554385147523,0.9953497381774722,0.9989263757077311,0.9865442464879319,1974.62,,
zone,Región del Maule,0.9818854869934858,0.9790653251564106,0.9770597621680702,1.0001108473116949,1.0033640870177176,1.0171439545680694,1.0075028162950703,1.013935827140062,1.0074370812613909,0.991074213564102,1.0073842354500013,0.9938621523454518,1939.605,,
zone_color,Región Metropolitana de Santiago,0.9853806270487813,0.9811259686746076,0.9885525191219585,0.9969106001103502,1.0226596561833978,1.0380643774409573,1.0606331072236106,1.040867439118064,1.0172449233498857,0.9933681693767378,0.9888243376283361,0.9920726363960923,1848.66,blanco,
zone_color,Región Metropolitana de Santiago,0.9946486892610897,0.9805420821556532,0.9846105094222936,0.9968157912222149,1.0181686455101633,1.0377063433732168,1.052094780044262,1.0468252467378472,1.0312313125789025,0.9910402600522353,0.9929978073425912,0.9865706122574149,1956.53,color,
zone_color,Región de Arica y Parinacota,0.9654989384288747,0.9684182590233545,0.9973460721868365,0.9922160297239915,1.0,1.0404723991507432,1.009288747346072,1.0345010615711252,0.9941613588110403,1.0115021231422505,1.0057139065817409,0.9854033970276008,1884.0,blanco,
zone_color,Región de Arica y Parinacota,0.9751083763647479,0.9773753371657818,0.9776794867137749,0.986079924836889,0.9770958151115533,1.0217947162943501,1.0405633292923722,1.006148869505683,1.0487618219666162,1.001624798901121,1.0039397833149961,0.9868310633967101,2030.25125,color,
zone_color,Región de Coquimbo,0.9827723297111052,0.9801219188974291,1.019878081102571,0.9721706864564007,1.0331301351709514,1.0380996554465942,1.033902729923138,1.0180227935329975,0.9920487675589716,0.9889583885502253,1.0092764378478665,0.9748210972700768,1886.5,blanco,
zone_color,Región de Coquimbo,0.999295318653922,0.9937970642005719,0.9982463749923877,0.9852016917323602,1.0065832400179462,1.032532167398483,1.0310668776153682,1.025684205816666,1.0125425822656435,0.9934615016548204,0.9841328628829297,0.9998670178059429,2011.5475000000001,color,
zone_color,Región de La Araucanía,0.9618534787065314,0.9581375259892759,0.9668518099191508,1.010016295265195,1.0196970481654801,1.0644544671331144,1.0693162611781692,1.0194306668287605,1.0161618064052957,0.9876188453858299,0.9815308940320555,0.980200325948139,1867.62333325,blanco,
zone_color,Región de La Araucanía,0.9807951681159893,0.9844436721415138,0.9702511420394736,0.986754725929346,1.0004228149438108,1.0415600742247242,1.0261731232725124,1.0184495363464023,1.0220679289219223,0.9997578537562153,0.9822354991411965,0.9842278734164829,1992.5974999999999,color,
zone_color,Región de Los Lagos,0.975327045223743,0.9825401839441745,0.9683593046356751,0.995011108181417,1.0231013624817582,1.0602269671662519,1.0816157639583242,1.019557447963848,1.0335386149624983,0.9929748258064852,0.9872184121696589,0.9742070899175305,1915.255,blanco,
zone_color,Región de Los Lagos,0.9571495623508979,0.9605600356086397,0.9892337229342197,1.0013328983322398,0.9824006481354584,1.0098348249100384,1.0307827957876046,1.0324710528198864,1.0273795994998296,1.0073849116879052,0.9685161894389335,0.9715773681382721,2061.2975,color,
zone_color,Región de Valparaíso,0.9844534486634622,0.9927793776026891,0.9879513558070075,0.9811187950285292,1.0321662937706744,1.0518102405446779,1.0406313896352757,1.0278307087878562,1.0287821288257522,0.9909327395544517,0.993113913480993,1.0010383993662553,1868.26,blanco,
zone_color,Región de Valparaíso,0.9872495261133162,0.9804169186439472,0.9842893224309752,0.978318096118957,1.018157609883269,1.0335201776630398,1.022510252722625,1.0193975921982752,1.0169798807787496,1.0181753965148366,0.996031040213033,0.995726126529015,1967.77,color,
zone_color,Región de Ñuble,0.9790139572246209,0.9680244555176223,0.9887461667838137,1.0248895471432875,1.0988315983030426,1.1430197138266895,1.165444990962948,1.1652003983833719,1.1040114469324231,1.0,0.9800180741038257,0.9790139572246209,1991.8,blanco,
zone_color,Región de Ñuble,0.9591091249423697,0.9547410479483633,0.9911578739050253,1.0432495772245274,1.1168605753803598,1.1309359151682803,1.1449208543107423,1.1471876440756108,1.0722788045182112,0.9792692485016136,0.9652489626556017,0.9638543107422775,2169.0,color,
zone_color,Región del Biobío,0.995737563397,0.9991151397431747,0.9919742095608072,0.9839146973130463,0.9783141793460667,1.030859501456782,1.0406550124096254,1.043689975180749,1.0565528218409408,1.0,0.9951062911406063,0.9893007445775331,1853.4,blanco,
zone_color,Región del Biobío,0.9849862797925395,0.99418542343227,0.9926900329733597,0.9965032786435812,0.9910650420080104,1.0149476737955254,0.9926152634504141,1.0118808771960432,1.0298255627029682,0.9988211338548922,1.016033078036951,1.0119431851318312,2006.165,color,
zone_color,Región del Maule,0.983942234123948,0.9827945677123183,0.985523007979014,0.9967154880314788,1.010076237840201,1.0219709804350203,1.0193422778445733,1.0206252049404307,1.024885233358837,0.9932014427806317,0.9881079899442562,0.9986501256967975,1829.8,blanco,
zone_color,Región del Maule,0.9848057984795682,0.9934018522358844,1.000477980041172,0.9973040914079926,0.9864926380957679,1.0000341414315121,1.0034116141563019,1.0145644817836494,1.0089804609851951,1.0039629350503523,1.0068990981604091,0.9995220199588278,1977.0700000000002,color,
zone_color_size,Región Metropolitana de Santiago,0.9853806270487813,0.9811259686746076,0.9885525191219585,0.9969106001103502,1.0226596561833978,1.0380643774409573,1.0606331072236106,1.040867439118064,1.0172449233498857,0.9933681693767378,0.9888243376283361,0.9920726363960923,1848.66,blanco,L
zone_color_size,Región Metropolitana de Santiago,0.9946486892610897,0.9805420821556532,0.9846105094222936,0.9968157912222149,1.0181686455101633,1.0377063433732168,1.052094780044262,1.0468252467378472,1.0312313125789025,0.9910402600522353,0.9929978073425912,0.9865706122574149,1956.53,color,L
zone_color_size,Región de Arica y Parinacota,0.9654989384288747,0.9684182590233545,0.9973460721868365,0.9922160297239915,1.0,1.0404723991507432,1.009288747346072,1.0345010615711252,0.9941613588110403,1.0115021231422505,1.0057139065817409,0.9854033970276008,1884.0,blanco,L
zone_color_size,Región de Arica y Parinacota,0.9751083763647479,0.9773753371657818,0.9776794867137749,0.986079924836889,0.9770958151115533,1.0217947162943501,1.0405633292923722,1.006148869505683,1.0487618219666162,1.001624798901121,1.0039397833149961,0.9868310633967101,2030.25125,color,L
zone_color_size,Región de Coquimbo,0.9827723297111052,0.9801219188974291,1.019878081102571,0.9721706864564007,1.0331301351709514,1.0380996554465942,1.033902729923138,1.0180227935329975,0.9920487675589716,0.9889583885502253,1.0092764378478665,0.9748210972700768,1886.5,blanco,L
zone_color_size,Región de Coquimbo,0.999295318653922,0.9937970642005719,0.9982463749923877,0.9852016917323602,1.0065832400179462,1.032532167398483,1.0310668776153682,1.025684205816666,1.0125425822656435,0.9934615016548204,0.9841328628829297,0.9998670178059429,2011.5475000000001,color,L
zone_color_size,Región de La Araucanía,0.9618534787065314,0.9581375259892759,0.9668518099191508,1.010016295265195,1.0196970481654801,1.0644544671331144,1.0693162611781692,1.0194306668287605,1.0161618064052957,0.9876188453858299,0.9815308940320555,0.980200325948139,1867.62333325,blanco,L
zone_color_size,Región de La Araucanía,0.9807951681159893,0.9844436721415138,0.9702511420394736,0.986754725929346,1.0004228149438108,1.0415600742247242,1.0261731232725124,1.0184495363464023,1.0220679289219223,0.9997578537562153,0.9822354991411965,0.9842278734164829,1992.5974999999999,color,L
zone_color_size,Región de Los Lagos,0.975327045223743,0.9825401839441745,0.9683593046356751,0.995011108181417,1.0231013624817582,1.0602269671662519,1.0816157639583242,1.019557447963848,1.0335386149624983,0.9929748258064852,0.9872184121696589,0.9742070899175305,1915.255,blanco,L
zone_color_size,Región de Los Lagos,0.9571495623508979,0.9605600356086397,0.9892337229342197,1.0013328983322398,0.9824006481354584,1.0098348249100384,1.0307827957876046,1.0324710528198864,1.0273795994998296,1.0073849116879052,0.9685161894389335,0.9715773681382721,2061.2975,color,L
zone_color_size,Región de Valparaíso,0.9844534486634622,0.9927793776026891,0.9879513558070075,0.9811187950285292,1.0321662937706744,1.0518102405446779,1.0406313896352757,1.0278307087878562,1.0287821288257522,0.9909327395544517,0.993113913480993,1.0010383993662553,1868.26,blanco,L
zone_color_size,Región de Valparaíso,0.9872495261133162,0.9804169186439472,0.9842893224309752,0.978318096118957,1.018157609883269,1.0335201776630398,1.022510252722625,1.0193975921982752,1.0169798807787496,1.0181753965148366,0.996031040213033,0.995726126529015,1967.77,color,L
zone_color_size,Región de Ñuble,0.9790139572246209,0.9680244555176223,0.9887461667838137,1.0248895471432875,1.0988315983030426,1.1430197138266895,1.165444990962948,1.1652003983833719,1.1040114469324231,1.0,0.9800180741038257,0.9790139572246209,1991.8,blanco,L
zone_color_size,Región de Ñuble,0.9591091249423697,0.9547410479483633,0.9911578739050253,1.0432495772245274,1.1168605753803598,1.1309359151682803,1.1449208543107423,1.1471876440756108,1.0722788045182112,0.9792692485016136,0.9652489626556017,0.9638543107422775,2169.0,color,L
zone_color_size,Región del Biobío,0.995737563397,0.9991151397431747,0.9919742095608072,0.9839146973130463,0.9783141793460667,1.030859501456782,1.0406550124096254,1.043689975180749,1.0565528218409408,1.0,0.9951062911406063,0.9893007445775331,1853.4,blanco,L
zone_color_size,Región del Biobío,0.9849862797925395,0.99418542343227,0.9926900329733597,0.9965032786435812,0.9910650420080104,1.0149476737955254,0.9926152634504141,1.0118808771960432,1.0298255627029682,0.9988211338548922,1.016033078036951,1.0119431851318312,2006.165,color,L
zone_color_size,Región del Maule,0.983942234123948,0.9827945677123183,0.985523007979014,0.9967154880314788,1.010076237840201,1.0219709804350203,1.0193422778445733,1.0206252049404307,1.024885233358837,0.9932014427806317,0.9881079899442562,0.9986501256967975,1829.8,blanco,L
zone_color_size,Región del Maule,0.9848057984795682,0.9934018522358844,1.000477980041172,0.9973040914079926,0.9864926380957679,1.0000341414315121,1.0034116141563019,1.0145644817836494,1.0089804609851951,1.0039629350503523,1.0068990981604091,0.9995220199588278,1977.0700000000002,color,L
